n;price;totsp;livesp;kitsp;dist;metrdist;walk;brick;floor;code
1;75;44;28;6;13,5;7;1;0;1;6
2;95;61;37;6;13,5;7;1;0;1;1
3;88;55;36;6;9;5;1;1;0;4
4;225;80;56;9;9;5;1;1;1;3
5;140;86;51;10;12,7;10;1;0;1;5
6;132;96;56;12;10,5;7;0;0;1;3
7;115;77;50;9;3,5;7;1;0;0;7
8;170;87;58;8;7,5;7;1;1;1;3
9;170;84;55;11;3;15;1;1;0;1
10;95;58;38;6;12;8;1;0;1;1
11;148;92;61;10;10,5;15;1;1;1;7
12;135;82;46;13;12;5;1;0;1;5
13;130;73;52;7;11;5;1;1;1;8
14;72;49;34;6;7;10;0;0;1;5
15;127;85;46;14;12;7;1;1;1;5
16;112;73;51;8;10,5;7;0;1;1;3
17;110;75;43;10;12,7;5;1;0;1;5
18;450;125;80;20;9;3;1;0;1;4
19;159;81;56;8;7,5;15;1;1;0;8
20;120;77;47;12;13,5;10;1;0;1;1
21;88;60;43;6;12;5;0;0;0;7
22;115;77;50;9;6;10;1;1;1;6
23;129;79;46;13;12;15;1;0;1;1
24;110;65;46;7;12,5;5;1;0;1;2
25;102;60;43;6;12;5;0;1;1;7
26;101;77;45;13;13;10;0;0;1;5
27;86;60;42;7;12;10;0;0;1;8
28;87;64;46;7;12;5;1;0;1;5
29;140;99;51;12;10,5;1;1;0;0;7
30;89;62;38;9;13;4;0;0;0;5
31;340;83;49;19;9;5;1;1;1;3
32;112;75;42;10;12;5;0;0;1;5
33;99;67;37;7;10,5;10;0;1;1;3
34;170;89;51;12;12,7;6;1;0;0;5
35;198;80;45;10;7;7;0;0;1;4
36;89;51;34;6;3,5;10;1;0;0;7
37;100;57;42;6;11;10;1;1;1;5
38;135;77;47;10;13,5;10;0;0;1;1
39;100;78;44;8;13,5;20;0;0;1;1
40;136;64;38;8;3;3;1;0;1;1
41;133;80;48;10;10,5;10;1;0;0;7
42;145;85;58;8;12;4;1;1;1;8
43;220;103;49;13;14,5;10;1;1;1;3
44;110;81;45;10;13;12;1;0;1;5
45;95;64;45;6;12,5;10;1;0;0;2
46;76;55;36;6;12,5;15;0;1;0;3
47;139;80;48;10;10,5;15;1;0;1;7
48;350;80;44;14;10,5;10;1;1;0;7
49;105;66;40;8;12,5;5;1;0;1;2
50;110;51;34;6;3,5;7;1;0;1;7
51;90;60;45;6;13,5;5;1;0;1;6
52;130;80;46;10;10,5;15;1;0;1;7
53;165;65;45;9;9;10;1;1;1;3
54;158;78;48;9;9;4;1;1;1;4
55;210;80;42;20;8;5;1;0;1;1
56;470;120;75;18;9;10;1;1;1;3
57;105;57;42;6;3;15;1;1;1;1
58;169;70;44;8;8;5;1;1;1;1
59;136;78;46;10;12,5;5;0;0;0;2
60;130;81;56;9;6;7;1;1;1;6
61;84;58;43;5;12;15;1;1;0;7
62;74;60;43;6;13,5;5;0;0;0;6
63;138;77;45;10;13;5;0;0;1;5
64;125;62;42;10;12;10;1;0;1;1
65;105;57;40;6;4,5;5;1;1;1;8
66;120;56;42;6;12;5;1;1;1;7
67;110;83;47;10;17;10;1;0;1;4
68;120;74;40;12;12,7;7;1;1;1;5
69;144;80;51;10;13,5;10;1;0;1;1
70;140;56;40;5;9;5;1;1;0;3
71;106;58;44;6;7;10;0;0;0;4
72;105;56;42;6;3;15;1;1;1;1
73;120;82;44;11;12,7;12;1;0;1;5
74;225;80;53;9;7;5;1;1;1;4
75;94;59;43;5;14,5;5;0;0;1;3
76;177;80;50;9;4,5;2;1;0;0;8
77;113;75;45;10;12;7;1;0;1;5
78;145;78;50;10;12;3;1;0;1;5
79;90;56;41;5;6;15;1;1;1;6
80;135;84;45;11;12;10;0;0;1;7
81;100;80;45;12;12,7;15;1;0;1;5
82;95;65;47;9;13,5;7;1;0;1;6
83;114;80;45;13;12;7;1;0;0;5
84;107;74;44;11;13;5;0;0;0;5
85;106;76;43;12;13;5;0;0;0;5
86;106;76;46;10;13;5;0;0;1;5
87;124;78;55;8;13,5;10;1;1;1;1
88;112;65;40;8;17;5;1;0;0;2
89;80;60;44;6;13,5;10;0;0;1;6
90;138;68;46;8;9;10;1;0;1;4
91;132;77;43;8;12,5;5;1;0;1;2
92;86;50;34;6;12;10;0;0;0;8
93;270;105;74;18;5;1;1;1;1;4
94;85;60;43;6;14,5;6;0;0;1;2
95;135;76;44;10;12,7;2;1;0;0;5
96;200;122;68;12;10;5;1;0;1;6
97;90;51;35;6;7;3;1;0;1;4
98;133;65;47;8;12,5;2;1;0;1;3
99;103;69;44;9;14,5;10;0;0;1;3
100;89;61;44;6;12,5;10;1;0;1;2
101;166;77;45;11;10,5;15;1;1;1;3
102;78;55;37;6;11,5;2;1;1;1;6
103;110;77;45;10;12;10;0;0;1;7
104;100;80;51;10;13,5;10;0;0;1;6
105;127;76;42;10;13,5;10;0;0;1;6
106;99;79;62;6;17;2;1;1;0;4
107;118;67;44;8;6;10;1;0;1;6
108;130;56;41;6;9;5;1;1;0;3
109;118;68;49;11;7,5;7;1;0;0;8
110;100;65;46;6;15,5;7;1;0;1;1
111;195;83;55;9;9;3;1;1;1;3
112;120;66;40;19;7,5;10;1;1;1;8
113;95;60;43;6;14,5;10;1;0;1;3
114;110;58;43;6;14,5;10;1;1;1;3
115;80;55;41;5;11,5;3;1;1;1;6
116;235;92;52;15;3,5;3;1;0;1;7
117;93;60;38;8;12;5;1;0;1;5
118;115;77;46;10;12,7;7;1;0;1;5
119;140;76;44;10;12;2;1;0;1;5
120;92;82;48;8;13;12;0;0;1;5
121;230;103;51;14;14,5;15;1;1;1;3
122;135;77;46;10;12,7;2;1;0;1;5
123;125;78;60;11;14,5;10;0;0;1;3
124;136;74;45;10;13,5;5;0;0;1;1
125;170;80;48;9;14,5;7;1;1;1;3
126;105;75;45;10;12;7;1;0;1;5
127;125;82;52;12;13,5;10;0;0;0;6
128;73;61;41;6;13;10;0;0;0;5
129;92;60;45;6;9;7;0;1;1;3
130;90;57;38;6;7,5;6;1;1;0;3
131;145;85;54;11;8;10;0;1;1;1
132;299;99;65;11;9;10;1;1;1;3
133;127;77;46;10;12,5;10;1;0;1;2
134;84;58;43;5;12;15;1;1;0;7
135;195;110;55;11;12;1;1;1;1;7
