,life_main,people_main,photos,relation,wall_posts,target
0,1.0,2.0,697.0,1.0,2456.0,2545.0
1,1.0,1.0,31.0,1.0,81.0,1904.0
2,7.0,2.0,102.0,5.0,3920.0,2778.0
3,1.0,1.0,275.0,1.0,1010.0,2068.0
4,1.0,1.0,201.0,1.0,137.0,4362.0
5,1.0,1.0,799.0,1.0,3086.0,2782.0
6,1.0,1.0,2469.0,1.0,10520.0,6353.0
7,1.0,1.0,7.0,1.0,7.0,2672.0
8,1.0,1.0,796.0,1.0,3523.0,9473.0
9,1.0,1.0,2.0,1.0,881.0,3309.0
10,1.0,1.0,1288.0,1.0,4090.0,2964.0
11,1.0,1.0,1020.0,1.0,95.0,1959.0
12,9.0,1.0,27.0,2.0,1065.0,2003.0
13,1.0,1.0,203.0,1.0,241.0,1477.0
14,1.0,1.0,920.0,1.0,1564.0,1511.0
15,1.0,1.0,121.0,1.0,2451.0,1494.0
16,1.0,1.0,606.0,1.0,1672.0,1852.0
17,1.0,1.0,76.0,1.0,129.0,2727.0
18,1.0,1.0,191.0,1.0,6034.0,2021.0
19,2.0,3.0,1120.0,2.0,693.0,1736.0
20,1.0,1.0,29.0,1.0,3.0,1642.0
21,1.0,1.0,555.0,1.0,1188.0,1252.0
22,1.0,1.0,118.0,1.0,4906.0,3029.0
23,1.0,1.0,1586.0,1.0,1123.0,1366.0
24,1.0,1.0,18.0,5.0,4.0,1164.0
25,1.0,1.0,628.0,1.0,1990.0,1524.0
26,7.0,3.0,694.0,8.0,3652.0,1852.0
27,1.0,1.0,65.0,1.0,1425.0,1595.0
28,1.0,1.0,895.0,1.0,1595.0,1893.0
29,1.0,1.0,234.0,1.0,1382.0,1367.0
30,1.0,1.0,2.0,1.0,66.0,1694.0
31,1.0,1.0,54.0,1.0,49.0,1522.0
32,1.0,1.0,702.0,1.0,7584.0,1112.0
33,1.0,1.0,84.0,1.0,767.0,3084.0
34,1.0,1.0,70.0,1.0,1287.0,1143.0
35,1.0,1.0,265.0,1.0,937.0,1089.0
36,1.0,1.0,292.0,1.0,1199.0,1805.0
37,1.0,1.0,592.0,1.0,649.0,1265.0
38,1.0,1.0,447.0,1.0,836.0,920.0
39,1.0,1.0,2065.0,1.0,5245.0,3712.0
40,1.0,1.0,10.0,1.0,186.0,987.0
41,1.0,1.0,405.0,5.0,17213.0,1575.0
42,1.0,1.0,4597.0,1.0,135.0,1891.0
43,1.0,1.0,908.0,1.0,1762.0,1702.0
44,1.0,1.0,1964.0,1.0,2300.0,925.0
45,1.0,1.0,277.0,1.0,934.0,2224.0
46,1.0,1.0,406.0,1.0,2178.0,3523.0
47,1.0,1.0,740.0,1.0,1495.0,1515.0
48,1.0,1.0,586.0,1.0,253.0,787.0
49,1.0,1.0,630.0,1.0,420.0,1272.0
50,1.0,1.0,984.0,1.0,1854.0,1403.0
51,1.0,1.0,328.0,1.0,1244.0,1224.0
52,1.0,1.0,718.0,1.0,1642.0,1712.0
53,1.0,1.0,1112.0,1.0,3874.0,866.0
54,2.0,3.0,216.0,7.0,1508.0,1093.0
55,1.0,1.0,2327.0,1.0,3426.0,1029.0
56,1.0,1.0,991.0,1.0,3659.0,1339.0
57,1.0,1.0,1215.0,1.0,976.0,2199.0
58,1.0,1.0,894.0,1.0,1618.0,1261.0
59,1.0,1.0,1046.0,1.0,645.0,966.0
60,1.0,1.0,385.0,1.0,1815.0,1463.0
61,1.0,1.0,579.0,1.0,1590.0,1071.0
62,7.0,2.0,674.0,5.0,4599.0,1090.0
63,1.0,1.0,762.0,8.0,3431.0,1577.0
64,1.0,1.0,60.0,1.0,155.0,898.0
65,1.0,1.0,31.0,2.0,50.0,639.0
66,6.0,6.0,713.0,1.0,1486.0,1196.0
67,1.0,1.0,2227.0,1.0,2299.0,2734.0
68,1.0,1.0,27.0,1.0,4.0,593.0
69,6.0,7.0,16275.0,5.0,46656.0,1418.0
